scraped_page,title,detail_url,price(USD),building_area(m²),land_area(m²),bedrooms,bathrooms,location,image_count,image_filenames,price_per_sqm,property_type
28,Residential Land for Sale in Greystone Park,https://www.property.co.zw/for-sale/residential-land-stands-gat226755,480000.0,200.0,6725.0,3.0,2.0,Harare,1,ca512ecdef_0.webp,69.31407942238268,land
28,Granary house for sale,https://www.property.co.zw/for-sale/houses-thre226374,45000.0,200.0,300.0,5.0,3.0,Harare,1,26b4fbf434_0.webp,90.0,house
28,Borrowdale Hogerty Hill Merrydown Estate,https://www.property.co.zw/for-sale/residential-land-stands-t7216207,55000.0,600.0,2300.0,3.0,2.0,Borrowdale,1,9792a4160e_0.webp,,land
28,Commercial Property for sale,https://www.property.co.zw/for-sale/commercial-property-smy214924,75000.0,300.0,1500.0,3.0,2.0,Harare,1,0dc2f7e480_0.webp,41.66666666666666,commercial
28,Nyanga Holiday Home for Sale,https://www.property.co.zw/for-sale/lodges-hotels-xds202473,200000.0,100.0,44900.0,4.0,2.0,Unknown,1,ec0a37b16e_0.webp,4.444444444444445,house
28,"Head Office or Home, Discover Your Dream Property in Newlands",https://www.property.co.zw/for-sale/houses-sef221226,995000.0,600.0,7783.0,6.0,3.0,Newlands,1,739ed10ad9_0.webp,118.69259215078134,house
28,Lakeview Park Residential Stands 1250sqm-2000sqm,https://www.property.co.zw/for-sale/residential-land-stands-bnjr220396,43750.0,1250.0,1250.0,3.0,2.0,Harare,1,d82007ee64_0.webp,17.5,land
28,Aspire Heights Baobab Two Bed Apartments For Sale- Ground Floor Type B,https://www.property.co.zw/for-sale/flats-apartments-oxp218780,75000.0,48.0,500.0,2.0,1.0,Harare,1,19d61ed64a_0.webp,,apartment
28,Luxurious 6-Bedroom Double-Story House for Sale in Glen Lorne,https://www.property.co.zw/for-sale/houses-glre217156,550000.0,440.0,4685.0,6.0,3.0,Harare,1,4508bee384_0.webp,107.3170731707317,house
28,"Charming Stone Under Thatch Holiday Home, Nyanga",https://www.property.co.zw/for-sale/houses-pgp226763,245000.0,4315.0,15000.0,2.0,1.0,Highlands,1,638d5c8f94_0.webp,12.684442143411855,house
28,Exclusive Modern Compound for Sale in Cold Comfort  4-Bed Main House  2-Bed Cottage ,https://www.property.co.zw/for-sale/houses-glre226910,185000.0,700.0,1200.0,4.0,2.0,Harare,1,ba497ba4dd_0.webp,97.36842105263158,house
29,Price Redution - Great Opportunity For Development,https://www.property.co.zw/for-sale/agricultural-land-farms-apc228078,650000.0,16.0,65526.0,3.0,2.0,Unknown,1,7767ce3b5c_0.webp,9.91730493424064,land
29,Modern 3-Bedroom Duplex Flat for Sale,https://www.property.co.zw/for-sale/flats-apartments-xds213641,160000.0,100.0,500.0,3.0,2.0,Harare,1,edf6912598_0.webp,,apartment
29,Stunning Glenlorne Family Home,https://www.property.co.zw/for-sale/houses-t7218210,650000.0,700.0,6330.0,6.0,3.0,Harare,1,d72bee7f10_0.webp,92.46088193456616,house
29,"Spacious 5-Bed Townhouse in Twinlakes with Electric Gate , Prime area which can be turned into comme",https://www.property.co.zw/for-sale/townhouses-lvre218332,120000.0,250.0,2091.0,5.0,3.0,Unknown,1,6623c8e53e_0.webp,51.26014523707817,house
